 	transcript_5p20nt_MFE
MSMEG_3374	NA
MSMEG_3375	-1.00
MSMEG_3376	-0.30
MSMEG_3377	-1.70
MSMEG_3378	-3.10
MSMEG_3379	-1.00
MSMEG_3380	-0.50
MSMEG_3381	NA
MSMEG_3382	-1.80
MSMEG_3383	-2.50
MSMEG_3384	NA
MSMEG_3385	NA
MSMEG_3386	NA
MSMEG_3387	NA
MSMEG_3388	NA
MSMEG_3389	-0.60
MSMEG_3390	NA
MSMEG_3391	NA
MSMEG_3392	NA
MSMEG_3393	NA
MSMEG_3394	NA
MSMEG_3395	-2.50
MSMEG_3396	NA
MSMEG_3397	NA
MSMEG_3398	NA
MSMEG_3400	-0.50
MSMEG_3401	NA
MSMEG_3402	NA
MSMEG_3403	NA
MSMEG_3404	NA
MSMEG_3405	NA
MSMEG_3406	NA
MSMEG_3407	-1.00
MSMEG_3408	-3.20
MSMEG_3409	NA
MSMEG_3410	NA
MSMEG_3411	-0.60
MSMEG_3412	-2.90
MSMEG_3414	NA
MSMEG_3415	NA
MSMEG_3416	NA
MSMEG_3417	NA
MSMEG_3418	-2.30
MSMEG_3419	0.00
MSMEG_3420	NA
MSMEG_3421	-1.90
MSMEG_3422	-3.20
MSMEG_3423	NA
MSMEG_3424	NA
MSMEG_3425	-2.60
MSMEG_3426	-0.70
MSMEG_3427	NA
MSMEG_3428	NA
MSMEG_3429	NA
MSMEG_3430	-1.00
MSMEG_3431	NA
MSMEG_3432	-3.40
MSMEG_3433	-5.20
MSMEG_3434	-2.70
MSMEG_3435	-1.70
MSMEG_3436	NA
MSMEG_3437	-3.90
MSMEG_3438	-2.90
MSMEG_3439	0.00
MSMEG_3440	-8.30
MSMEG_3441	-0.90
MSMEG_3442	-1.70
MSMEG_3443	-6.70
MSMEG_3444	NA
MSMEG_3445	NA
MSMEG_3446	NA
MSMEG_3447	-3.30
MSMEG_3448	NA
MSMEG_3449	-5.40
MSMEG_3450	NA
MSMEG_3451	0.00
MSMEG_3452	0.00
MSMEG_3453	NA
MSMEG_3454	-0.80
MSMEG_3455	NA
MSMEG_3456	NA
MSMEG_3457	-1.70
MSMEG_3458	NA
MSMEG_3459	0.00
MSMEG_3460	-7.30
MSMEG_3461	NA
MSMEG_3462	NA
MSMEG_3463	NA
MSMEG_3464	-1.00
MSMEG_3465	NA
MSMEG_3466	-3.40
MSMEG_3467	NA
MSMEG_3468	-1.40
MSMEG_3469	NA
MSMEG_3470	NA
MSMEG_3471	-2.20
MSMEG_3472	-0.40
MSMEG_3473	NA
MSMEG_3474	NA
MSMEG_3475	-2.40
MSMEG_3476	-2.60
MSMEG_3477	-2.60
MSMEG_3478	NA
MSMEG_3479	-1.00
MSMEG_3480	-0.10
MSMEG_3481	NA
MSMEG_3482	NA
MSMEG_3483	0.00
MSMEG_3484	NA
MSMEG_3485	NA
MSMEG_3486	NA
MSMEG_3487	-1.00
MSMEG_3488	-1.40
MSMEG_3489	-2.60
MSMEG_3490	-2.70
MSMEG_3491	0.00
MSMEG_3492	NA
MSMEG_3493	-1.00
MSMEG_3494	-0.10
MSMEG_3495	-1.50
MSMEG_3496	NA
MSMEG_3497	-9.20
MSMEG_3498	NA
MSMEG_3499	-2.00
MSMEG_3500	-0.80
MSMEG_3501	-1.30
MSMEG_3502	NA
MSMEG_3503	-1.00
MSMEG_3504	-4.70
MSMEG_3505	-0.60
MSMEG_3506	-1.10
MSMEG_3507	-6.80
MSMEG_3508	NA
MSMEG_3509	NA
MSMEG_3510	NA
MSMEG_3511	-7.70
MSMEG_3512	NA
MSMEG_3513	-1.10
MSMEG_3514	0.00
MSMEG_3515	-3.90
MSMEG_3517	NA
MSMEG_3518	NA
MSMEG_3519	0.00
MSMEG_3520	-0.60
MSMEG_3521	NA
MSMEG_3522	NA
MSMEG_3523	NA
MSMEG_3524	NA
MSMEG_3525	-1.60
MSMEG_3526	NA
MSMEG_3527	NA
MSMEG_3528	-3.60
MSMEG_3529	NA
MSMEG_3530	NA
MSMEG_3531	-2.90
MSMEG_3532	-0.70
MSMEG_3533	NA
MSMEG_3534	0.00
MSMEG_3535	-2.40
MSMEG_3536	NA
MSMEG_3537	NA
MSMEG_3538	-2.20
MSMEG_3539	NA
MSMEG_3540	-3.90
MSMEG_3541	NA
MSMEG_3542	NA
MSMEG_3543	NA
MSMEG_3544	NA
MSMEG_3545	-1.60
MSMEG_3546	NA
MSMEG_3547	NA
MSMEG_3548	NA
MSMEG_3549	NA
MSMEG_3550	NA
MSMEG_3551	NA
MSMEG_3552	NA
MSMEG_3553	NA
MSMEG_3554	NA
MSMEG_3555	NA
MSMEG_3556	NA
MSMEG_3557	NA
MSMEG_3558	-2.70
MSMEG_3559	NA
MSMEG_3560	NA
MSMEG_3561	-3.60
MSMEG_3562	-1.60
MSMEG_3563	NA
MSMEG_3564	-0.60
MSMEG_3565	NA
MSMEG_3566	-2.00
MSMEG_3567	NA
MSMEG_3568	NA
MSMEG_3569	-0.80
MSMEG_3570	-2.80
MSMEG_3571	NA
MSMEG_3572	NA
MSMEG_3573	NA
MSMEG_3574	-1.90
MSMEG_3575	-3.00
MSMEG_3576	NA
MSMEG_3577	NA
MSMEG_3578	-0.20
MSMEG_3579	NA
MSMEG_3580	-2.70
MSMEG_3581	NA
MSMEG_3582	NA
MSMEG_3583	-5.20
MSMEG_3584	NA
MSMEG_3585	NA
MSMEG_3586	NA
MSMEG_3587	NA
MSMEG_3588	NA
MSMEG_3589	-1.80
MSMEG_3590	NA
MSMEG_3591	NA
MSMEG_3592	-3.30
MSMEG_3593	NA
MSMEG_3594	-3.40
MSMEG_3595	NA
MSMEG_3596	NA
MSMEG_3597	NA
MSMEG_3598	NA
MSMEG_3599	NA
MSMEG_3600	NA
MSMEG_3601	NA
MSMEG_3602	NA
MSMEG_3603	NA
MSMEG_3604	NA
MSMEG_3605	0.00
MSMEG_3606	NA
MSMEG_3607	NA
MSMEG_3608	-4.00
MSMEG_3609	NA
MSMEG_3610	NA
MSMEG_3611	NA
MSMEG_3612	-0.60
MSMEG_3613	-2.50
MSMEG_3614	-4.00
MSMEG_3615	-5.00
MSMEG_3616	-8.10
MSMEG_3617	NA
MSMEG_3618	NA
MSMEG_3619	-5.30
MSMEG_3620	-1.30
MSMEG_3621	-3.00
MSMEG_3622	NA
MSMEG_3623	NA
MSMEG_3624	NA
MSMEG_3625	NA
MSMEG_3626	NA
MSMEG_3627	-4.40
MSMEG_3628	-0.30
MSMEG_3629	NA
MSMEG_3630	-1.10
MSMEG_3631	-3.10
MSMEG_3632	0.00
MSMEG_3633	-4.70
MSMEG_3634	-1.90
MSMEG_3635	NA
MSMEG_3636	0.00
MSMEG_3637	NA
MSMEG_3638	NA
MSMEG_3639	-6.40
MSMEG_3640	NA
MSMEG_3641	0.00
MSMEG_3642	-3.20
MSMEG_3643	NA
MSMEG_3644	-0.70
MSMEG_3645	-3.80
MSMEG_3646	NA
MSMEG_3647	-2.10
MSMEG_3648	-1.30
MSMEG_3649	-4.00
MSMEG_3650	0.00
MSMEG_3651	NA
MSMEG_3652	NA
MSMEG_3653	NA
MSMEG_3654	-2.80
MSMEG_3655	NA
MSMEG_3656	NA
MSMEG_3657	NA
MSMEG_3658	-1.50
MSMEG_3659	0.00
MSMEG_3660	0.00
MSMEG_3661	NA
MSMEG_3662	NA
MSMEG_3663	-0.90
MSMEG_3664	NA
MSMEG_3665	NA
MSMEG_3666	-1.20
MSMEG_3667	-1.60
MSMEG_3668	-3.90
MSMEG_3669	NA
MSMEG_3670	-2.50
MSMEG_3671	-1.00
MSMEG_3672	NA
MSMEG_3673	NA
MSMEG_3674	-2.20
MSMEG_3675	-1.20
MSMEG_3676	NA
MSMEG_3677	-2.60
MSMEG_3678	-1.10
MSMEG_3679	NA
MSMEG_3680	0.00
MSMEG_3681	-0.70
MSMEG_3682	-0.10
MSMEG_3683	-1.20
MSMEG_3684	NA
MSMEG_3685	-1.20
MSMEG_3686	-2.80
MSMEG_3687	-2.10
MSMEG_3688	NA
MSMEG_3689	0.00
MSMEG_3691	NA
MSMEG_3692	-9.90
MSMEG_3693	-3.30
MSMEG_3694	-0.30
MSMEG_3695	NA
MSMEG_3696	-3.60
MSMEG_3697	NA
MSMEG_3698	NA
MSMEG_3699	NA
MSMEG_3700	NA
MSMEG_3701	NA
MSMEG_3703	NA
MSMEG_3704	NA
MSMEG_3705	NA
MSMEG_3706	-2.10
MSMEG_3707	NA
MSMEG_3708	0.00
MSMEG_3709	NA
MSMEG_3710	NA
MSMEG_3711	NA
MSMEG_3712	NA
MSMEG_3713	NA
MSMEG_3714	-2.00
MSMEG_3715	NA
MSMEG_3716	NA
MSMEG_3718	-0.80
MSMEG_3719	NA
MSMEG_3720	NA
MSMEG_3721	NA
MSMEG_3722	NA
MSMEG_3723	NA
MSMEG_3724	NA
MSMEG_3725	-1.00
MSMEG_3726	NA
MSMEG_3727	-2.40
MSMEG_3728	NA
MSMEG_3729	NA
MSMEG_3730	0.00
MSMEG_3731	NA
MSMEG_3732	NA
MSMEG_3733	0.00
MSMEG_3735	NA
MSMEG_3736	-5.30
MSMEG_3737	-4.10
MSMEG_3738	NA
MSMEG_3739	NA
MSMEG_3740	NA
MSMEG_3741	-2.00
MSMEG_3742	NA
MSMEG_3743	-3.40
MSMEG_3744	-4.10
MSMEG_3745	NA
MSMEG_3746	-5.40
MSMEG_3748	0.00
MSMEG_3750	-1.80
MSMEG_3751	NA
MSMEG_3752	0.00
MSMEG_3753	NA
MSMEG_3754	-2.10
MSMEG_3758	NA
MSMEG_3759	-2.50
MSMEG_3760	NA
MSMEG_3761	NA
MSMEG_3762	NA
MSMEG_3763	NA
MSMEG_3764	0.00
MSMEG_3765	-4.80
MSMEG_3766	-0.10
MSMEG_3767	-2.30
MSMEG_3768	-2.70
MSMEG_3769	NA
MSMEG_3770	NA
MSMEG_3771	NA
MSMEG_3772	NA
MSMEG_3773	NA
MSMEG_3774	-1.30
MSMEG_3775	-4.80
MSMEG_3776	-0.70
MSMEG_3777	NA
MSMEG_3778	-2.80
MSMEG_3779	NA
MSMEG_3780	-1.20
MSMEG_3781	NA
MSMEG_3782	NA
MSMEG_3783	NA
MSMEG_3784	-4.90
MSMEG_3785	-5.40
MSMEG_3786	-1.50
MSMEG_3787	NA
MSMEG_3788	NA
MSMEG_3789	NA
MSMEG_3790	NA
MSMEG_3791	-2.50
MSMEG_3792	-1.80
MSMEG_3793	NA
MSMEG_3794	-4.40
MSMEG_3795	-6.70
MSMEG_3796	-1.60
MSMEG_3797	NA
MSMEG_3798	NA
MSMEG_3799	-1.40
MSMEG_3800	-9.30
MSMEG_3801	NA
MSMEG_3802	-4.40
MSMEG_3803	-3.80
MSMEG_3804	-2.80
MSMEG_3805	NA
MSMEG_3806	NA
MSMEG_3807	-3.40
MSMEG_3808	-5.20
MSMEG_3809	NA
MSMEG_3810	0.00
MSMEG_3811	0.00
MSMEG_3812	-0.90
MSMEG_3813	NA
MSMEG_3815	NA
MSMEG_3816	NA
MSMEG_3817	NA
MSMEG_3818	NA
MSMEG_3819	0.00
MSMEG_3820	NA
MSMEG_3821	NA
MSMEG_3822	NA
MSMEG_3823	NA
MSMEG_3824	NA
MSMEG_3825	NA
MSMEG_3826	NA
MSMEG_3827	NA
MSMEG_3828	NA
MSMEG_3829	NA
MSMEG_3830	NA
MSMEG_3831	-0.40
MSMEG_3832	NA
MSMEG_3833	-2.80
MSMEG_3834	NA
MSMEG_3835	-4.80
MSMEG_3836	-3.60
MSMEG_3837	NA
MSMEG_3838	NA
MSMEG_3839	-0.50
MSMEG_3840	NA
MSMEG_3841	NA
MSMEG_3842	NA
MSMEG_3843	-2.00
MSMEG_3844	NA
MSMEG_3845	0.00
MSMEG_3846	0.00
MSMEG_3847	NA
MSMEG_3848	-1.70
MSMEG_3849	NA
MSMEG_3850	NA
MSMEG_3851	NA
MSMEG_3852	NA
MSMEG_3853	NA
MSMEG_3854	-8.50
MSMEG_3855	-1.00
MSMEG_3856	-1.40
MSMEG_3857	NA
MSMEG_3858	-2.80
MSMEG_3859	NA
MSMEG_3860	NA
MSMEG_3861	-2.10
MSMEG_3862	0.00
MSMEG_3863	-1.80
MSMEG_3864	-0.70
MSMEG_3865	NA
MSMEG_3866	NA
MSMEG_3867	NA
MSMEG_3868	NA
MSMEG_3869	-0.30
MSMEG_3870	NA
MSMEG_3871	NA
MSMEG_3872	0.00
MSMEG_3873	NA
MSMEG_3874	-5.10
MSMEG_3875	NA
MSMEG_3876	NA
MSMEG_3877	-1.90
MSMEG_3878	NA
MSMEG_3879	-1.40
MSMEG_3880	-4.90
MSMEG_3881	-0.40
MSMEG_3882	NA
MSMEG_3883	NA
MSMEG_3884	NA
MSMEG_3885	NA
MSMEG_3886	NA
MSMEG_3887	-1.60
MSMEG_3888	NA
MSMEG_3890	0.00
MSMEG_3891	NA
MSMEG_3892	NA
MSMEG_3893	NA
MSMEG_3894	NA
MSMEG_3895	NA
MSMEG_3896	-5.80
MSMEG_3897	NA
MSMEG_3898	NA
MSMEG_3899	NA
MSMEG_3900	NA
MSMEG_3901	0.00
MSMEG_3902	-4.30
MSMEG_3903	-2.20
MSMEG_3904	-3.20
MSMEG_3905	NA
MSMEG_3906	-0.60
MSMEG_3907	NA
MSMEG_3908	NA
MSMEG_3909	-1.20
MSMEG_3910	NA
MSMEG_3911	NA
MSMEG_3912	NA
MSMEG_3913	NA
MSMEG_3914	NA
MSMEG_3915	NA
MSMEG_3916	0.00
MSMEG_3917	NA
MSMEG_3918	0.00
MSMEG_3919	0.00
MSMEG_3920	NA
MSMEG_3921	-1.80
MSMEG_3922	NA
MSMEG_3923	-1.90
MSMEG_3924	NA
MSMEG_3925	NA
MSMEG_3926	NA
MSMEG_3927	-6.60
MSMEG_3928	NA
MSMEG_3929	NA
MSMEG_3930	-4.60
MSMEG_3931	NA
MSMEG_3932	NA
MSMEG_3933	NA
MSMEG_3934	NA
MSMEG_3935	NA
MSMEG_3936	NA
MSMEG_3937	NA
MSMEG_3938	NA
MSMEG_3939	NA
MSMEG_3940	NA
MSMEG_3941	NA
MSMEG_3942	NA
MSMEG_3943	NA
MSMEG_3944	NA
MSMEG_3945	NA
MSMEG_3946	NA
MSMEG_3947	NA
MSMEG_3948	NA
MSMEG_3949	NA
MSMEG_3950	-2.20
MSMEG_3951	NA
MSMEG_3952	NA
MSMEG_3953	NA
MSMEG_3954	NA
MSMEG_3955	NA
MSMEG_3956	NA
MSMEG_3957	NA
MSMEG_3958	-0.60
MSMEG_3959	-2.40
MSMEG_3960	-2.00
MSMEG_3961	-1.00
MSMEG_3962	0.00
MSMEG_3963	NA
MSMEG_3964	NA
MSMEG_3965	0.00
MSMEG_3966	NA
MSMEG_3967	-2.90
MSMEG_3968	-6.50
MSMEG_3969	-0.80
MSMEG_3970	NA
MSMEG_3971	NA
MSMEG_3972	NA
MSMEG_3973	NA
MSMEG_3975	0.00
MSMEG_3976	-1.30
MSMEG_3977	-0.90
MSMEG_3978	-2.70
MSMEG_3980	0.00
MSMEG_3981	NA
MSMEG_3982	NA
MSMEG_3984	NA
MSMEG_3985	NA
MSMEG_3986	NA
MSMEG_3987	NA
MSMEG_3988	-0.50
MSMEG_3989	NA
MSMEG_3990	NA
MSMEG_3991	NA
MSMEG_3992	NA
MSMEG_3993	NA
MSMEG_3994	NA
MSMEG_3995	NA
MSMEG_3996	NA
MSMEG_3997	-2.60
MSMEG_3998	NA
MSMEG_3999	NA
MSMEG_4000	NA
MSMEG_4001	NA
MSMEG_4002	NA
MSMEG_4003	NA
MSMEG_4004	NA
MSMEG_4005	NA
MSMEG_4006	NA
MSMEG_4007	0.00
MSMEG_4008	NA
MSMEG_4009	NA
MSMEG_4010	NA
MSMEG_4011	NA
MSMEG_4012	NA
MSMEG_4013	NA
MSMEG_4014	NA
MSMEG_4015	NA
MSMEG_4016	NA
MSMEG_4017	NA
MSMEG_4018	NA
MSMEG_4019	NA
MSMEG_4020	NA
MSMEG_4021	NA
MSMEG_4022	-3.30
MSMEG_4023	NA
MSMEG_4024	-3.10
MSMEG_4025	NA
MSMEG_4026	NA
MSMEG_4027	NA
MSMEG_4028	NA
MSMEG_4029	-0.10
MSMEG_4030	-1.50
MSMEG_4031	NA
MSMEG_4032	NA
MSMEG_4033	NA
MSMEG_4034	-1.20
MSMEG_4035	NA
MSMEG_4036	NA
MSMEG_4037	-1.00
MSMEG_4038	-1.00
MSMEG_4039	NA
MSMEG_4040	NA
MSMEG_4041	-2.10
MSMEG_4042	-1.50
MSMEG_4043	NA
MSMEG_4044	-2.00
MSMEG_4045	NA
MSMEG_4046	NA
MSMEG_4047	NA
MSMEG_4048	NA
MSMEG_4049	NA
MSMEG_4050	NA
MSMEG_4051	NA
MSMEG_4052	-1.40
MSMEG_4053	-1.70
MSMEG_4054	NA
MSMEG_4055	0.00
MSMEG_4056	NA
MSMEG_4057	-0.90
MSMEG_4058	NA
MSMEG_4059	NA
MSMEG_4061	NA
MSMEG_4062	NA
MSMEG_4063	NA
MSMEG_4064	NA
MSMEG_4065	NA
MSMEG_4066	NA
MSMEG_4067	-1.60
MSMEG_4068	-4.70
MSMEG_4069	NA
MSMEG_4070	NA
MSMEG_4071	-1.00
MSMEG_4072	NA
MSMEG_4074	NA
MSMEG_4075	NA
MSMEG_4076	NA
MSMEG_4077	NA
MSMEG_4078	NA
MSMEG_4079	-2.20
MSMEG_4081	-5.00
MSMEG_4082	NA
MSMEG_4083	NA
MSMEG_4084	NA
MSMEG_4085	0.00
MSMEG_4086	NA
MSMEG_4087	-5.10
MSMEG_4088	-1.70
MSMEG_4089	NA
MSMEG_4090	-9.40
MSMEG_4091	NA
MSMEG_4092	NA
MSMEG_4093	NA
MSMEG_4094	NA
MSMEG_4095	NA
MSMEG_4096	NA
MSMEG_4097	NA
MSMEG_4098	NA
MSMEG_4099	NA
MSMEG_4100	NA
MSMEG_4101	NA
MSMEG_4102	NA
MSMEG_4103	NA
MSMEG_4104	NA
MSMEG_4105	NA
MSMEG_4106	NA
MSMEG_4107	NA
MSMEG_4108	-9.90
MSMEG_4109	-2.70
MSMEG_4110	NA
MSMEG_4111	NA
MSMEG_4112	NA
MSMEG_4113	-6.30
MSMEG_4114	NA
MSMEG_4115	NA
MSMEG_4116	-0.90
MSMEG_4117	NA
MSMEG_4118	NA
MSMEG_4119	NA
MSMEG_4120	-6.10
MSMEG_4121	-0.90
MSMEG_4122	NA
MSMEG_4123	0.00
MSMEG_4124	NA
MSMEG_4125	-0.20
MSMEG_4126	-3.90
MSMEG_4127	NA
MSMEG_4128	-6.10
MSMEG_4129	0.00
MSMEG_4130	-1.80
MSMEG_4131	NA
MSMEG_4132	-0.30
MSMEG_4133	-2.80
MSMEG_4135	NA
MSMEG_4136	NA
MSMEG_4137	NA
MSMEG_4138	NA
MSMEG_4140	NA
MSMEG_4141	NA
MSMEG_4142	-2.50
MSMEG_4143	-1.30
MSMEG_4144	NA
MSMEG_4145	-1.00
MSMEG_4146	NA
MSMEG_4147	NA
MSMEG_4148	NA
MSMEG_4149	NA
MSMEG_4150	NA
MSMEG_4151	-1.80
MSMEG_4152	NA
MSMEG_4153	0.00
MSMEG_4154	NA
MSMEG_4155	-1.60
MSMEG_4156	NA
MSMEG_4157	NA
MSMEG_4158	NA
MSMEG_4159	-4.60
MSMEG_4160	0.00
MSMEG_4161	-3.30
MSMEG_4162	NA
MSMEG_4163	-2.70
MSMEG_4164	NA
MSMEG_4165	-6.70
MSMEG_4166	-2.40
MSMEG_4167	NA
MSMEG_4168	NA
MSMEG_4169	NA
MSMEG_4170	NA
MSMEG_4171	NA
MSMEG_4172	NA
MSMEG_4173	NA
MSMEG_4174	-3.60
MSMEG_4175	-3.70
MSMEG_4176	NA
MSMEG_4178	NA
MSMEG_4179	-1.60
MSMEG_4180	0.00
MSMEG_4181	NA
MSMEG_4182	NA
MSMEG_4183	-2.90
MSMEG_4184	NA
MSMEG_4185	-2.40
MSMEG_4186	-0.70
MSMEG_4187	NA
MSMEG_4188	-0.10
MSMEG_4189	-1.90
MSMEG_4190	-2.70
MSMEG_4191	NA
MSMEG_4192	-0.70
MSMEG_4193	NA
MSMEG_4194	-1.30
MSMEG_4195	-5.50
MSMEG_4196	-7.00
MSMEG_4197	-4.00
MSMEG_4198	NA
MSMEG_4199	-1.80
MSMEG_4200	-2.40
MSMEG_4202	NA
MSMEG_4203	NA
MSMEG_4204	NA
MSMEG_4205	NA
MSMEG_4207	NA
MSMEG_4208	NA
MSMEG_4209	NA
MSMEG_4210	NA
MSMEG_4211	NA
MSMEG_4212	NA
MSMEG_4213	NA
MSMEG_4214	-0.60
MSMEG_4215	-4.30
MSMEG_4216	0.00
MSMEG_4217	NA
MSMEG_4218	-4.20
MSMEG_4219	0.00
MSMEG_4220	NA
MSMEG_4221	NA
MSMEG_4222	0.00
MSMEG_4223	NA
MSMEG_4224	NA
MSMEG_4225	-5.20
MSMEG_4226	-1.00
MSMEG_4227	NA
MSMEG_4228	-0.70
MSMEG_4229	NA
MSMEG_4230	-0.70
MSMEG_4231	NA
MSMEG_4232	-2.80
MSMEG_4233	NA
MSMEG_4234	NA
MSMEG_4235	-3.10
MSMEG_4236	-4.90
MSMEG_4237	-0.50
MSMEG_4238	-2.60
MSMEG_4239	-1.50
MSMEG_4240	-4.90
MSMEG_4241	NA
MSMEG_4242	-1.80
MSMEG_4243	-0.40
MSMEG_4244	-1.30
MSMEG_4245	-5.40
MSMEG_4246	-9.70
MSMEG_4247	NA
MSMEG_4248	-8.00
MSMEG_4249	-1.90
MSMEG_4250	NA
MSMEG_4251	-3.90
MSMEG_4252	-0.10
MSMEG_4253	-2.90
MSMEG_4254	NA
MSMEG_4255	NA
MSMEG_4256	-5.00
MSMEG_4257	-1.20
MSMEG_4258	-0.90
MSMEG_4259	NA
MSMEG_4260	-0.70
MSMEG_4261	-1.80
MSMEG_4262	NA
MSMEG_4263	NA
MSMEG_4264	-0.40
MSMEG_4265	NA
MSMEG_4266	NA
MSMEG_4267	NA
MSMEG_4268	-3.30
MSMEG_4269	-0.40
MSMEG_4270	-0.50
MSMEG_4271	-7.60
MSMEG_4272	-4.60
MSMEG_4273	0.00
MSMEG_4274	-6.40
MSMEG_4275	NA
MSMEG_4276	-2.50
MSMEG_4277	NA
MSMEG_4278	-1.40
MSMEG_4279	NA
MSMEG_4280	-0.90
MSMEG_4281	NA
MSMEG_4282	-0.70
MSMEG_4283	0.00
MSMEG_4284	-5.30
MSMEG_4285	-1.90
MSMEG_4286	-2.60
MSMEG_4287	-3.20
MSMEG_4288	NA
MSMEG_4289	-4.00
MSMEG_4290	-1.90
MSMEG_4291	NA
MSMEG_4292	-0.60
MSMEG_4293	NA
MSMEG_4294	NA
MSMEG_4295	-4.50
MSMEG_4296	NA
MSMEG_4297	NA
MSMEG_4298	-2.30
MSMEG_4299	0.00
MSMEG_4300	NA
MSMEG_4301	NA
MSMEG_4302	-0.90
MSMEG_4303	NA
MSMEG_4304	-0.90
MSMEG_4305	NA
MSMEG_4306	NA
MSMEG_4307	-0.20
MSMEG_4308	-1.10
MSMEG_4309	NA
MSMEG_4310	-1.20
MSMEG_4311	NA
MSMEG_4313	-0.60
MSMEG_4314	-3.20
MSMEG_4315	NA
MSMEG_4316	NA
MSMEG_4317	NA
MSMEG_4318	NA
MSMEG_4320	-2.80
MSMEG_4321	-0.90
MSMEG_4322	-6.30
MSMEG_4323	0.00
MSMEG_4324	NA
MSMEG_4325	-0.40
MSMEG_4326	-2.90
MSMEG_4327	NA
MSMEG_4328	NA
MSMEG_4329	NA
MSMEG_4330	0.00
MSMEG_4331	NA
MSMEG_4332	NA
MSMEG_4333	-1.20
MSMEG_4334	NA
MSMEG_4335	NA
MSMEG_4336	-0.60
MSMEG_4337	-1.90
MSMEG_4338	-1.40
MSMEG_4339	NA
MSMEG_4340	-0.70
MSMEG_4341	NA
MSMEG_4342	NA
MSMEG_4343	NA
MSMEG_4344	NA
MSMEG_4345	NA
MSMEG_4346	NA
MSMEG_4347	-2.40
MSMEG_4348	NA
MSMEG_4349	-0.40
MSMEG_4350	NA
MSMEG_4351	-7.30
MSMEG_4352	NA
MSMEG_4353	-0.80
MSMEG_4354	-5.40
MSMEG_4355	NA
MSMEG_4356	NA
MSMEG_4357	NA
MSMEG_4358	-0.50
MSMEG_4359	-5.80
MSMEG_4360	-8.10
MSMEG_4361	-3.60
MSMEG_4362	NA
MSMEG_4363	NA
MSMEG_4364	NA
MSMEG_4365	-2.30
MSMEG_4366	-0.70
MSMEG_4367	-2.00
MSMEG_4368	-1.90
MSMEG_4369	NA
MSMEG_4370	NA
MSMEG_4371	-5.80
MSMEG_4372	NA
MSMEG_4373	NA
MSMEG_4374	NA
MSMEG_4375	NA
MSMEG_4376	NA
MSMEG_4377	NA
MSMEG_4378	NA
MSMEG_4379	-1.20
MSMEG_4380	NA
MSMEG_4381	0.00
MSMEG_4382	NA
MSMEG_4383	-1.70
MSMEG_4384	-4.50
MSMEG_4385	0.00
MSMEG_4386	NA
MSMEG_4387	NA
MSMEG_4388	NA
MSMEG_4389	NA
MSMEG_4390	NA
MSMEG_4391	NA
MSMEG_4392	-1.20
MSMEG_4393	NA
MSMEG_4394	0.00
MSMEG_4395	-6.50
MSMEG_4396	-2.10
MSMEG_4397	NA
MSMEG_4398	NA
MSMEG_4399	-4.10
MSMEG_4400	NA
MSMEG_4401	0.00
MSMEG_4402	-3.60
MSMEG_4403	NA
MSMEG_4404	NA
MSMEG_4405	NA
MSMEG_4406	NA
MSMEG_4407	NA
MSMEG_4408	NA
MSMEG_4409	NA
MSMEG_4410	-7.70
MSMEG_4411	NA
MSMEG_4412	NA
MSMEG_4413	NA
MSMEG_4414	NA
MSMEG_4415	NA
MSMEG_4416	NA
MSMEG_4417	NA
MSMEG_4418	NA
MSMEG_4419	NA
MSMEG_4420	NA
MSMEG_4421	NA
MSMEG_4422	NA
MSMEG_4423	NA
MSMEG_4424	NA
MSMEG_4425	NA
MSMEG_4426	NA
MSMEG_4427	NA
MSMEG_4428	NA
MSMEG_4429	NA
MSMEG_4430	-9.10
MSMEG_4431	-0.90
MSMEG_4432	NA
MSMEG_4433	NA
MSMEG_4434	NA
MSMEG_4435	NA
MSMEG_4436	NA
MSMEG_4437	NA
MSMEG_4438	NA
MSMEG_4439	NA
MSMEG_4440	NA
MSMEG_4441	NA
MSMEG_4442	NA
MSMEG_4443	NA
MSMEG_4444	NA
MSMEG_4445	NA
MSMEG_4447	0.00
MSMEG_4448	NA
MSMEG_4449	0.00
MSMEG_4450	0.00
MSMEG_4451	NA
MSMEG_4453	-4.00
MSMEG_4454	0.00
MSMEG_4455	NA
MSMEG_4456	-1.60
MSMEG_4457	NA
MSMEG_4458	-0.40
MSMEG_4459	NA
MSMEG_4460	-4.40
MSMEG_4461	-0.60
MSMEG_4462	NA
MSMEG_4463	NA
MSMEG_4464	0.00
MSMEG_4465	NA
MSMEG_4466	NA
MSMEG_4467	NA
MSMEG_4468	NA
MSMEG_4469	NA
MSMEG_4470	NA
MSMEG_4471	NA
MSMEG_4472	NA
MSMEG_4473	NA
MSMEG_4474	0.00
MSMEG_4475	-0.20
MSMEG_4476	-0.90
MSMEG_4477	NA
MSMEG_4479	-3.10
MSMEG_4480	-0.40
MSMEG_4481	-5.50
MSMEG_4482	NA
MSMEG_4483	-2.30
MSMEG_4484	NA
MSMEG_4485	-1.00
MSMEG_4486	0.00
MSMEG_4487	NA
MSMEG_4488	NA
MSMEG_4489	NA
MSMEG_4490	-2.90
MSMEG_4491	NA
MSMEG_4492	NA
MSMEG_4493	NA
MSMEG_4494	NA
MSMEG_4495	NA
MSMEG_4496	NA
MSMEG_4497	-2.00
MSMEG_4498	NA
MSMEG_4499	0.00
